date,tagesschau,tagesthemen
2007-07-24,https://www.tagesschau.de/multimedia/sendung/sendung702.html,https://www.tagesschau.de/multimedia/sendung/sendung700.html
2007-07-25,https://www.tagesschau.de/multimedia/sendung/sendung672.html,https://www.tagesschau.de/multimedia/sendung/sendung660.html
2007-07-26,https://www.tagesschau.de/multimedia/sendung/sendung642.html,https://www.tagesschau.de/multimedia/sendung/sendung640.html
2007-07-27,https://www.tagesschau.de/multimedia/sendung/sendung612.html,https://www.tagesschau.de/multimedia/sendung/sendung610.html
2007-07-28,https://www.tagesschau.de/multimedia/sendung/sendung592.html,https://www.tagesschau.de/multimedia/sendung/sendung590.html
2007-07-29,https://www.tagesschau.de/multimedia/sendung/sendung574.html,https://www.tagesschau.de/multimedia/sendung/sendung572.html
2007-07-30,https://www.tagesschau.de/multimedia/sendung/sendung552.html,https://www.tagesschau.de/multimedia/sendung/sendung422.html
2007-07-31,https://www.tagesschau.de/multimedia/sendung/sendung534.html,https://www.tagesschau.de/multimedia/sendung/sendung532.html
2007-08-01,https://www.tagesschau.de/multimedia/sendung/sendung516.html,https://www.tagesschau.de/multimedia/sendung/sendung512.html
2007-08-02,https://www.tagesschau.de/multimedia/sendung/sendung498.html,https://www.tagesschau.de/multimedia/sendung/sendung490.html
2007-08-03,https://www.tagesschau.de/multimedia/sendung/sendung478.html,https://www.tagesschau.de/multimedia/sendung/sendung476.html
2007-08-04,https://www.tagesschau.de/multimedia/sendung/sendung458.html,https://www.tagesschau.de/multimedia/sendung/sendung456.html
2007-08-05,https://www.tagesschau.de/multimedia/sendung/sendung438.html,https://www.tagesschau.de/multimedia/sendung/sendung436.html
2007-08-06,https://www.tagesschau.de/multimedia/sendung/sendung406.html,https://www.tagesschau.de/multimedia/sendung/sendung404.html
2007-08-07,https://www.tagesschau.de/multimedia/sendung/sendung374.html,https://www.tagesschau.de/multimedia/sendung/sendung372.html
2007-08-08,https://www.tagesschau.de/multimedia/sendung/sendung346.html,https://www.tagesschau.de/multimedia/sendung/sendung344.html
2007-08-09,https://www.tagesschau.de/multimedia/sendung/sendung314.html,https://www.tagesschau.de/multimedia/sendung/sendung312.html
2007-08-10,https://www.tagesschau.de/multimedia/sendung/sendung286.html,https://www.tagesschau.de/multimedia/sendung/sendung284.html
2007-08-11,https://www.tagesschau.de/multimedia/sendung/sendung264.html,https://www.tagesschau.de/multimedia/sendung/sendung262.html
2007-08-12,https://www.tagesschau.de/multimedia/sendung/sendung244.html,https://www.tagesschau.de/multimedia/sendung/sendung242.html
2007-08-13,https://www.tagesschau.de/multimedia/sendung/sendung228.html,https://www.tagesschau.de/multimedia/sendung/sendung226.html
2007-08-14,https://www.tagesschau.de/multimedia/sendung/sendung212.html,https://www.tagesschau.de/multimedia/sendung/sendung210.html
2007-08-15,https://www.tagesschau.de/multimedia/sendung/sendung196.html,https://www.tagesschau.de/multimedia/sendung/sendung188.html
2007-08-16,https://www.tagesschau.de/multimedia/sendung/sendung180.html,https://www.tagesschau.de/multimedia/sendung/sendung174.html
2007-08-17,https://www.tagesschau.de/multimedia/sendung/sendung164.html,https://www.tagesschau.de/multimedia/sendung/sendung150.html
2007-08-18,https://www.tagesschau.de/multimedia/sendung/sendung144.html,https://www.tagesschau.de/multimedia/sendung/sendung142.html
2007-08-19,https://www.tagesschau.de/multimedia/sendung/sendung120.html,https://www.tagesschau.de/multimedia/sendung/sendung118.html
2007-08-20,https://www.tagesschau.de/multimedia/sendung/sendung78.html,https://www.tagesschau.de/multimedia/sendung/sendung90.html
2007-08-21,https://www.tagesschau.de/multimedia/sendung/sendung62.html,https://www.tagesschau.de/multimedia/sendung/sendung60.html
2007-08-22,https://www.tagesschau.de/multimedia/sendung/sendung32.html,https://www.tagesschau.de/multimedia/sendung/sendung30.html
2007-08-23,,https://www.tagesschau.de/multimedia/sendung/sendung12186.html
2007-08-24,https://www.tagesschau.de/multimedia/sendung/sendung12214.html,https://www.tagesschau.de/multimedia/sendung/sendung12218.html
2007-08-25,https://www.tagesschau.de/multimedia/sendung/sendung12238.html,https://www.tagesschau.de/multimedia/sendung/sendung12240.html
2007-08-26,https://www.tagesschau.de/multimedia/sendung/sendung12252.html,https://www.tagesschau.de/multimedia/sendung/sendung12254.html
2007-08-27,https://www.tagesschau.de/multimedia/sendung/sendung12274.html,https://www.tagesschau.de/multimedia/sendung/sendung12276.html
2007-08-28,https://www.tagesschau.de/multimedia/sendung/sendung12290.html,https://www.tagesschau.de/multimedia/sendung/sendung12292.html
2007-08-29,https://www.tagesschau.de/multimedia/sendung/sendung12308.html,https://www.tagesschau.de/multimedia/sendung/sendung12310.html
2007-08-30,https://www.tagesschau.de/multimedia/sendung/sendung12322.html,https://www.tagesschau.de/multimedia/sendung/sendung12324.html
2007-08-31,https://www.tagesschau.de/multimedia/sendung/sendung12344.html,https://www.tagesschau.de/multimedia/sendung/sendung12346.html
2007-09-01,https://www.tagesschau.de/multimedia/sendung/sendung12364.html,https://www.tagesschau.de/multimedia/sendung/sendung12366.html
